,city,year,month,day,hour,title,city_sector,address,intersection,latitude,longitude
3245,Toronto,2019,2,13,19,Farmers' Market,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3246,Toronto,2019,8,20,19,Sewing Classes,NA,"707 Dundas St W, Toronto, ON M5T 2W6, Canada",NA,43.6517657,-79.40496460000003
3247,Toronto,2019,8,17,15,A Tapestry of Spirit: The Torah Stitch by Stitch Project,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3248,Toronto,2019,11,29,0,Thirsty Thursdays,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3249,Toronto,2019,6,18,19,Sewing Classes,NA,"707 Dundas St W, Toronto, ON M5T 2W6, Canada",NA,43.6517657,-79.40496460000003
3250,Toronto,2018,12,28,16,Crosscurrents: Canada in the Making,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3251,Toronto,2019,4,11,16,Toronto Premiere of Choreographer M&#233;lanie Demer&#8217;s &#34;Animal Triste&#34;,NA,"235 Queens Quay W, Toronto, ON M5J 2G8, Canada",NA,43.6390687,-79.38289600000002
3252,Toronto,2019,8,24,15,A Tapestry of Spirit: The Torah Stitch by Stitch Project,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3253,Toronto,2019,5,21,12,East York Farmers Market,NA,"East York Civic Centre, 850 Coxwell Ave, East York, ON M4C 5R1, Canada",NA,43.6911694,-79.32833619999997
3254,Toronto,2019,4,7,18,Shove it Down My Throat,NA,"12 Alexander St, Toronto, ON M4Y 1B4, Canada",NA,43.6633185,-79.38306590000002
3255,Toronto,2019,3,5,15,Migration Trail,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3256,Toronto,2019,4,25,20,Earn-A-Bike,NA,"15 Tobermory Dr, North York, ON M3N 2R5, Canada",NA,43.760158,-79.5078661
3257,Toronto,2019,3,1,14,For the Record: An Idea of the North,NA,"789 Yonge St, Toronto, ON M4W 2G8, Canada",NA,43.6717923,-79.3868129
3258,Toronto,2019,11,10,18,Downtown Desserts &amp; Culture Tour,NA,"191 Baldwin St, Toronto, ON M5T 1M1, Canada",NA,43.6544824,-79.40121469999997
3259,Toronto,2019,6,10,13,Art by Etobicoke Seniors,NA,"399 The West Mall, Toronto, ON M9C 2Y2, Canada",NA,43.6432951,-79.5665396
3260,Toronto,2019,7,21,15,Nadia Myre: Balancing Acts,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3261,Toronto,2015,11,28,NA,Series 1 - A Woman's Work,Central West,6 Noble Street,Dufferin Street and Queen Street West,43.6425525317,-79.4302839329
3262,Toronto,2019,5,28,20,Earn-A-Bike,NA,"15 Tobermory Dr, North York, ON M3N 2R5, Canada",NA,43.760158,-79.5078661
3263,Toronto,2019,3,15,21,Toronto Comicon 2019,NA,"255 Front St W, Toronto, ON M5V 2W6, Canada",NA,43.6438286,-79.38678920000001
3264,Toronto,2019,4,24,15,Nadia Myre: Balancing Acts,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3265,Toronto,2018,9,9,15,Crosscurrents: Canada in the Making,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3266,Toronto,2019,2,20,18,Sewing Classes,NA,"1765 Weston Rd, York, ON M9N 3P7, Canada",NA,43.6990692,-79.51211869999997
3267,Toronto,2019,5,19,14,HideSeek,NA,"1305 Dundas St W, Toronto, ON M6J 1X8, Canada",NA,43.6492778,-79.42585559999998
